@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF667 |Clock conversion disabled. (Command "set_option -fix_gated_and_generated_clocks 0" in the project file.)
@N: BN362 :"e:\github_repos\gmii_mac_filter_sniffer\gmii_mac_filter_sniffer_libero\component\work\corefifo_c0\corefifo_c0_0\rtl\vhdl\core\corefifo_async.vhd":857:6:857:7|Removing sequential instance aempty_r (in view: corefifo_lib.COREFIFO_C0_COREFIFO_C0_0_corefifo_async(translated)) of type view:PrimLib.dffse(prim) because it does not drive other instances.
@N: MO225 :"e:\github_repos\gmii_mac_filter_sniffer\gmii_mac_filter_sniffer_libero\hdl\gmii_mac_filter_sniffer.vhd":371:2:371:3|There are no possible illegal states for state machine PCLK_cmd_state[0:3] (in view: work.GMII_MAC_Filter_Sniffer(architecture_gmii_mac_filter_sniffer)); safe FSM implementation is not required.
@N: MO231 :"e:\github_repos\gmii_mac_filter_sniffer\gmii_mac_filter_sniffer_libero\hdl\gmii_mac_filter_sniffer.vhd":564:2:564:3|Found counter in view:work.GMII_MAC_Filter_Sniffer(architecture_gmii_mac_filter_sniffer) instance byte_counter[10:0] 
@N: BN362 :"e:\github_repos\gmii_mac_filter_sniffer\gmii_mac_filter_sniffer_libero\hdl\gmii_mac_filter_sniffer.vhd":371:2:371:3|Removing sequential instance PCLK_cmd_state[0] (in view: work.GMII_MAC_Filter_Sniffer(architecture_gmii_mac_filter_sniffer)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: MF179 :|Found 17 by 17 bit equality operator ('==') p_GMII_processing_seq\.un1_byte_counter (in view: work.GMII_MAC_Filter_Sniffer(architecture_gmii_mac_filter_sniffer))
@N: MF179 :"e:\github_repos\gmii_mac_filter_sniffer\gmii_mac_filter_sniffer_libero\hdl\gmii_mac_filter_sniffer.vhd":608:11:608:52|Found 48 by 48 bit equality operator ('==') p_GMII_processing_seq\.un16_byte_counter (in view: work.GMII_MAC_Filter_Sniffer(architecture_gmii_mac_filter_sniffer))
@N: MF179 :"e:\github_repos\gmii_mac_filter_sniffer\gmii_mac_filter_sniffer_libero\hdl\gmii_mac_filter_sniffer.vhd":653:11:653:52|Found 32 by 32 bit equality operator ('==') p_GMII_processing_seq\.un79_byte_counter (in view: work.GMII_MAC_Filter_Sniffer(architecture_gmii_mac_filter_sniffer))
@N: MF179 :"e:\github_repos\gmii_mac_filter_sniffer\gmii_mac_filter_sniffer_libero\hdl\gmii_mac_filter_sniffer.vhd":678:11:678:52|Found 16 by 16 bit equality operator ('==') p_GMII_processing_seq\.un103_byte_counter (in view: work.GMII_MAC_Filter_Sniffer(architecture_gmii_mac_filter_sniffer))
@N: MO231 :"e:\github_repos\gmii_mac_filter_sniffer\gmii_mac_filter_sniffer_libero\component\work\corefifo_c0\corefifo_c0_0\rtl\vhdl\core\corefifo_async.vhd":797:6:797:7|Found counter in view:corefifo_lib.COREFIFO_C0_COREFIFO_C0_0_corefifo_async(translated) instance wptr[7:0] 
@N: MO231 :"e:\github_repos\gmii_mac_filter_sniffer\gmii_mac_filter_sniffer_libero\component\work\corefifo_c0\corefifo_c0_0\rtl\vhdl\core\corefifo_async.vhd":976:6:976:7|Found counter in view:corefifo_lib.COREFIFO_C0_COREFIFO_C0_0_corefifo_async(translated) instance memraddr_r[5:0] 
